title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id,artist,file_exists
Questions Freestyle,"Bullets Ain’t Got No Name, Vol. 1",2008,[],"['Mr. Walt', 'DJ Felli Fel']","['Nipsey Hussle', 'Mr. Walt', 'DJ Felli Fel']",61496,13792,Nipsey Hussle,False
Only A Case,Mailbox Money,2014,"['ConradFrmDaAves', 'Gi Joe OMG']",['Scoop DeVille'],"['Nipsey Hussle', 'Scoop DeVille', 'ConradFrmDaAves', 'Gi Joe OMG']",685031,116192,Nipsey Hussle,False
More or Less,Crenshaw,2013,[],['Soundsmith Productions'],['Nipsey Hussle'],238496,45726,Nipsey Hussle,False
One Take Freestyle,"Bullets Ain’t Got No Name, Vol. 1",2008,[],['DJ Felli Fel'],"['Nipsey Hussle', 'DJ Felli Fel']",4438096,13792,Nipsey Hussle,False
Right Hand 2 God,Victory Lap,2018,[],"['My Guy Mars', 'Mike & Keys', 'Rance']","['Nipsey Hussle', 'My Guy Mars', 'Rance', 'John Groover', 'Michael Cox', 'David Camon', 'Mike & Keys']",3510809,78280,Nipsey Hussle,False
Mac 11 On The Dresser,The Marathon,2010,[],['Kanye West'],"['Nipsey Hussle', 'Kanye West']",58624,10973,Nipsey Hussle,False
Makin Them Swerves,"Bullets Ain’t Got No Name, Vol. 1",2008,[],"['DJ Skee', 'DJ Felli Fel', 'Ralo Stylez']","['Nipsey Hussle', 'DJ Skee', 'DJ Felli Fel', 'Ralo Stylez']",4438120,13792,Nipsey Hussle,False
Mercy,Slauson Boy 2,2016,['Stacy Barthe'],['Mike & Keys'],"['Mike & Keys', 'Stacy Barthe', 'Nipsey Hussle']",2839378,163823,Nipsey Hussle,False
Million While You Young,Victory Lap,2018,['The-Dream'],"['My Guy Mars', 'G Koop', 'Jake One', 'Amaire Johnson', 'Mike & Keys']","['Nipsey Hussle', 'The-Dream', 'Jake One', 'My Guy Mars', 'John Groover', 'Michael Ray Cox Jr.', 'Amaire Johnson', 'G Koop', 'Mike & Keys']",3510806,78280,Nipsey Hussle,False
Monster,"The Leaks, Vol. 1",2013,[],[],['Nipsey Hussle'],4497198,523497,Nipsey Hussle,False
"Young, Rich, and Famous",The Marathon,2010,[],[],['Nipsey Hussle'],4444889,10973,Nipsey Hussle,False
Mr. Untouchable,The Marathon,2010,['Kokane'],['Jaywan'],"['Nipsey Hussle', 'Kokane', 'Jaywan']",202910,10973,Nipsey Hussle,False
My Side to Your Side,"Bullets Ain’t Got No Name, Vol. 1",2008,['Slauson Boyz'],['DJ Felli Fel'],"['Nipsey Hussle', 'DJ Felli Fel', 'Slauson Boyz']",4438124,13792,Nipsey Hussle,False
Never Gonna Change,"Bullets Ain’t Got No Name, Vol. II",2008,['J. Stone'],['Fee (producer)'],"['J. Stone', 'Nipsey Hussle']",4438169,28356,Nipsey Hussle,False
Onetake Freestyle Pt. 2,"Bullets Ain’t Got No Name, Vol. II",2008,['Gabrielle “Goldiie” Nowee'],['Jonny Shipes'],['Nipsey Hussle'],4438199,28356,Nipsey Hussle,False
New Money,"The Leaks, Vol. 1",2013,[],[],['Nipsey Hussle'],4497195,523497,Nipsey Hussle,False
Nip Hussle Interlude Pt. 2,"Bullets Ain’t Got No Name, Vol. II",2008,[],['Jonny Shipes'],['Nipsey Hussle'],4438201,28356,Nipsey Hussle,False
Nip Hussle Interlude Pt. 3,"Bullets Ain’t Got No Name, Vol. II",2008,[],['Jonny Shipes'],['Nipsey Hussle'],4438239,28356,Nipsey Hussle,False
Noah’s Ark,The Marathon Continues: X-Tra Laps,2012,[],[],['Nipsey Hussle'],4436877,21309,Nipsey Hussle,False
No Favors,NH2*,2016,[],"['Tariq Beats', 'Mike & Keys']",['Nipsey Hussle'],2847387,783709,Nipsey Hussle,False
No Nigga Like Me,Mailbox Money,2014,['Trae tha Truth'],['THC'],"['Trae tha Truth', 'Nipsey Hussle']",668606,116192,Nipsey Hussle,False
No Regrets,Crenshaw,2013,['ZEKE'],['The Colleagues'],"['Nipsey Hussle', 'ZEKE', 'The Colleagues', 'Sarah J']",2209672,45726,Nipsey Hussle,False
Ocean Views,Slauson Boy 2,2016,[],"['DJ Khalil', 'Mike & Keys']","['DJ Khalil', 'Mike & Keys', 'Nipsey Hussle']",2466088,163823,Nipsey Hussle,False
Ohh (Showin Her Draws),"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Nipsey Hussle', 'Ralo Stylez']",4437724,517476,Nipsey Hussle,False
One Hunnit,Slauson Boy 2,2016,[],"['Mike & Keys', 'DJ Khalil']","['Nipsey Hussle', 'Mike & Keys', 'DJ Khalil']",2807493,163823,Nipsey Hussle,False
One Take 3,The Marathon,2010,[],['Big K.R.I.T.'],"['Big K.R.I.T.', 'Nipsey Hussle']",4444890,10973,Nipsey Hussle,False
Nip Hussle Interlude Pt. 1,"Bullets Ain’t Got No Name, Vol. II",2008,[],['Jonny Shipes'],['Nipsey Hussle'],4438172,28356,Nipsey Hussle,False
Rimpau’s Finest,"Slauson Boy, Vol. 1",2005,[],['D-Rocc'],"['Nipsey Hussle', 'D-Rocc']",4437719,517476,Nipsey Hussle,False
Victory Lap,Victory Lap,2018,['Stacy Barthe'],"['Mike & Keys', 'Amaire Johnson', 'Sap']","['Nipsey Hussle', 'Stacy Barthe', 'Amaire Johnson', 'Sap', 'Alex Turner']",3510797,78280,Nipsey Hussle,False
Roll The Windows Up,"Bullets Ain’t Got No Name, Vol. II",2008,['Slauson Boyz'],['Dxtroit Red'],"['Slauson Boyz', 'Nipsey Hussle']",54481,28356,Nipsey Hussle,False
The Weather,Crenshaw,2013,"['Cuzzy Capone', 'Rick Ross']",['Cozmo'],"['Cuzzy Capone', 'Rick Ross', 'Nipsey Hussle']",234540,45726,Nipsey Hussle,False
They Know,The Marathon Continues,2011,[],[],['Nipsey Hussle'],62583,12596,Nipsey Hussle,False
They Roll,"Bullets Ain’t Got No Name, Vol. II",2008,['The Game'],['Cozmo'],"['The Game', 'Nipsey Hussle']",118016,28356,Nipsey Hussle,False
Thuggin,"Bullets Ain’t Got No Name, Vol. II",2008,"['Lil Cali', 'Boosie Badazz']",['Fee (producer)'],"['Boosie Badazz', 'Lil Cali', 'Nipsey Hussle']",393719,28356,Nipsey Hussle,False
Thug Life (I Remember),Slauson Boy 2,2016,['Young Thug'],[],"['Young Thug', 'Nipsey Hussle']",2462028,163823,Nipsey Hussle,False
Tommy Gunz,The Marathon Continues,2011,['Yung Brodee'],[],"['Nipsey Hussle', 'Yung Brodee']",153855,12596,Nipsey Hussle,False
Top Down,The Marathon,2010,[],[],['Nipsey Hussle'],212550,10973,Nipsey Hussle,False
Top Floor,The Marathon Continues: X-Tra Laps,2012,[],[],['Nipsey Hussle'],111255,21309,Nipsey Hussle,False
Trapps,"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Nipsey Hussle', 'Ralo Stylez']",4437741,517476,Nipsey Hussle,False
U Don’t Got a Clue,The Marathon,2010,[],['Wizzo'],"['Nipsey Hussle', 'Wizzo']",325912,10973,Nipsey Hussle,False
The Hustle Way,"Bullets Ain’t Got No Name, Vol. 3",2009,[],[],['Nipsey Hussle'],4438273,19605,Nipsey Hussle,False
U See Us,Crenshaw,2013,[],['Mike Free'],['Nipsey Hussle'],234516,45726,Nipsey Hussle,False
We Bang We Ball,"Bullets Ain’t Got No Name, Vol. II",2008,['H60dsta Rob'],['Zukhan'],"['H60dsta Rob', 'Nipsey Hussle']",4438165,28356,Nipsey Hussle,False
We Gangbangin,"Bullets Ain’t Got No Name, Vol. 3",2009,"['J Rock', 'Glasses Malone', 'Cobby Supreme']",[],"['Nipsey Hussle', 'J Rock', 'Glasses Malone', 'Cobby Supreme']",1819419,19605,Nipsey Hussle,False
We Just Havin Fun,The Marathon Continues: X-Tra Laps,2012,[],[],['Nipsey Hussle'],111427,21309,Nipsey Hussle,False
We Ride,The Marathon Continues: X-Tra Laps,2012,[],[],['Nipsey Hussle'],199700,21309,Nipsey Hussle,False
What’s Tha Bizness,"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Nipsey Hussle', 'Ralo Stylez']",4437740,517476,Nipsey Hussle,False
Where Yo Money At?,Mailbox Money,2014,['Pacman da Gunman'],['Mustard'],"['Pacman da Gunman', 'Nipsey Hussle']",371944,116192,Nipsey Hussle,False
Who Detached Us,The Marathon Continues,2011,[],[],['Nipsey Hussle'],64249,12596,Nipsey Hussle,False
Wrap It Up,"Slauson Boy, Vol. 1",2005,[],['Ralo Stylez'],"['Nipsey Hussle', 'Ralo Stylez']",4437725,517476,Nipsey Hussle,False
Young Nigga,Victory Lap,2018,['Diddy'],"['Axl Folie', 'Ralo Stylez', 'Nipsey Hussle', 'Rance', 'Mike & Keys']","['Nipsey Hussle', 'Diddy', 'Rance', 'John Groover', 'Michael Ray Cox Jr.', 'Jaire Kwayera', 'Curtis Mayfield', 'Ginuwine', 'Timbaland', 'Clarence Lewis', 'Robert Reives', 'Axl Folie', 'Ralo Stylez', 'Mike & Keys']",3510798,78280,Nipsey Hussle,False
Love,The Marathon,2010,[],['The High Standard'],"['Nipsey Hussle', 'The High Standard']",55427,10973,Nipsey Hussle,False
Walk in My Shoes,"Bullets Ain’t Got No Name, Vol. 3",2009,"['Rimpau', 'Yung Brodee']","['Johnny Shines (Producer)', 'The Empire (random)', 'DJ Whoo Kid']","['Nipsey Hussle', 'Rimpau', 'Yung Brodee', 'Johnny Shines (Producer)', 'The Empire (random)', 'DJ Whoo Kid']",2832204,19605,Nipsey Hussle,False
Road To Riches,The Marathon Continues,2011,[],[],['Nipsey Hussle'],58601,12596,Nipsey Hussle,False
